scenario_id,is_synthetic,generation_method,source_seed_id,scenario_family,logical_validity,constraint_violation_count,synthetic_provenance,generation_date,video_category_enc,activity_group_enc,workflow_stage_enc,movement_pattern_enc,operating_surface_enc,congestion_level_enc,reinforcement_complexity_enc,access_condition_enc,safety_condition_enc,evidence_level_enc,coding_confidence_enc,manufacturer_name_enc,comparison_robot_enc,labour_count_visible,robot_operator_count
SYN-012,yes,rule_expanded,SEED-014,SF-ROBOT-FRESH-CONCRETE,pass,0,rule_expanded,2026-06-28,1,4,2,1,1,2,0,1,3,2,2,2,0,0,1
SYN-013,yes,rule_expanded,SEED-014,SF-ROBOT-FRESH-CONCRETE,pass,0,rule_expanded,2026-06-28,1,4,2,1,1,2,0,2,3,2,2,2,0,0,1
SYN-014,yes,rule_expanded,SEED-014,SF-ROBOT-FRESH-CONCRETE,pass,0,rule_expanded,2026-06-28,1,4,2,1,1,2,0,3,3,2,2,2,0,0,1
SYN-015,yes,rule_expanded,SEED-001,SF-MIVAN-SLAB-CYCLE,pass,0,rule_expanded,2026-06-28,0,1,1,0,0,2,2,1,2,1,2,0,0,6,0
SYN-016,yes,rule_expanded,SEED-001,SF-MIVAN-SLAB-CYCLE,pass,0,rule_expanded,2026-06-28,0,1,1,0,0,2,2,2,2,1,2,0,0,6,0
SYN-017,yes,rule_expanded,SEED-001,SF-MIVAN-SLAB-CYCLE,pass,0,rule_expanded,2026-06-28,0,1,1,0,0,2,2,3,2,1,2,0,0,6,0
SYN-018,yes,rule_expanded,SEED-001,SF-MIVAN-SLAB-CYCLE,pass,0,rule_expanded,2026-06-28,0,1,1,0,0,3,2,2,2,1,2,0,0,6,0
SYN-019,yes,rule_expanded,SEED-001,SF-MIVAN-SLAB-CYCLE,pass,0,rule_expanded,2026-06-28,0,1,1,0,0,3,2,3,2,1,2,0,0,5,0
SYN-020,yes,rule_expanded,SEED-001,SF-MIVAN-SLAB-CYCLE,pass,0,rule_expanded,2026-06-28,0,1,1,0,0,3,2,3,2,1,2,0,0,7,0
SYN-021,yes,rule_expanded,SEED-002,SF-MIVAN-SLAB-CYCLE,pass,0,rule_expanded,2026-06-28,0,1,1,0,0,2,2,1,2,1,3,0,0,8,0
SYN-022,yes,rule_expanded,SEED-002,SF-MIVAN-SLAB-CYCLE,pass,0,rule_expanded,2026-06-28,0,1,1,0,0,2,2,2,2,1,3,0,0,8,0
SYN-023,yes,rule_expanded,SEED-002,SF-MIVAN-SLAB-CYCLE,pass,0,rule_expanded,2026-06-28,0,1,1,0,0,2,2,3,2,1,3,0,0,8,0
SYN-024,yes,rule_expanded,SEED-002,SF-MIVAN-SLAB-CYCLE,pass,0,rule_expanded,2026-06-28,0,1,1,0,0,3,2,2,2,1,3,0,0,8,0
SYN-025,yes,rule_expanded,SEED-002,SF-MIVAN-SLAB-CYCLE,pass,0,rule_expanded,2026-06-28,0,1,1,0,0,3,2,3,2,1,3,0,0,7,0
SYN-026,yes,rule_expanded,SEED-002,SF-MIVAN-SLAB-CYCLE,pass,0,rule_expanded,2026-06-28,0,1,1,0,0,3,2,3,2,1,3,0,0,9,0
SYN-027,yes,rule_expanded,SEED-003,SF-MIVAN-SLAB-CYCLE,pass,0,rule_expanded,2026-06-28,0,2,1,0,0,1,2,1,2,1,3,0,0,4,0
SYN-028,yes,rule_expanded,SEED-003,SF-MIVAN-SLAB-CYCLE,pass,0,rule_expanded,2026-06-28,0,2,1,0,0,1,2,2,2,1,3,0,0,4,0
SYN-029,yes,rule_expanded,SEED-003,SF-MIVAN-SLAB-CYCLE,pass,0,rule_expanded,2026-06-28,0,2,1,0,0,2,2,1,2,1,3,0,0,4,0
SYN-030,yes,rule_expanded,SEED-003,SF-MIVAN-SLAB-CYCLE,pass,0,rule_expanded,2026-06-28,0,2,1,0,0,2,2,3,2,1,3,0,0,4,0
SYN-031,yes,rule_expanded,SEED-006,SF-ROBOT-FRESH-CONCRETE,pass,0,rule_expanded,2026-06-28,1,4,2,1,1,1,0,2,2,1,2,1,0,0,1
SYN-032,yes,rule_expanded,SEED-006,SF-ROBOT-FRESH-CONCRETE,pass,0,rule_expanded,2026-06-28,1,4,2,1,1,2,0,1,2,1,2,1,0,0,1
SYN-033,yes,rule_expanded,SEED-006,SF-ROBOT-FRESH-CONCRETE,pass,0,rule_expanded,2026-06-28,1,4,2,1,1,2,0,2,2,1,2,1,0,0,1
SYN-034,yes,rule_expanded,SEED-006,SF-ROBOT-FRESH-CONCRETE,pass,0,rule_expanded,2026-06-28,1,4,2,1,1,2,0,3,2,1,2,1,0,0,1
SYN-035,yes,rule_expanded,SEED-006,SF-ROBOT-FRESH-CONCRETE,pass,0,rule_expanded,2026-06-28,1,4,2,1,1,1,0,1,2,1,2,1,0,0,0
SYN-036,yes,rule_expanded,SEED-006,SF-ROBOT-FRESH-CONCRETE,pass,0,rule_expanded,2026-06-28,1,4,2,1,1,1,0,1,2,1,2,1,0,0,2
SYN-037,yes,rule_expanded,SEED-010,SF-ROBOT-FRESH-CONCRETE,pass,0,rule_expanded,2026-06-28,1,4,2,1,1,1,0,2,3,2,2,1,0,0,1
SYN-038,yes,rule_expanded,SEED-010,SF-ROBOT-FRESH-CONCRETE,pass,0,rule_expanded,2026-06-28,1,4,2,1,1,2,0,1,3,2,2,1,0,0,1
SYN-039,yes,rule_expanded,SEED-010,SF-ROBOT-FRESH-CONCRETE,pass,0,rule_expanded,2026-06-28,1,4,2,1,1,2,0,2,3,2,2,1,0,0,1
SYN-040,yes,rule_expanded,SEED-010,SF-ROBOT-FRESH-CONCRETE,pass,0,rule_expanded,2026-06-28,1,4,2,1,1,2,0,3,3,2,2,1,0,0,1
SYN-041,yes,rule_expanded,SEED-010,SF-ROBOT-FRESH-CONCRETE,pass,0,rule_expanded,2026-06-28,1,4,2,1,1,1,0,1,3,2,2,1,0,0,0
SYN-042,yes,rule_expanded,SEED-010,SF-ROBOT-FRESH-CONCRETE,pass,0,rule_expanded,2026-06-28,1,4,2,1,1,1,0,1,3,2,2,1,0,0,2
SYN-043,yes,rule_expanded,SEED-007,SF-ROBOT-POST-CAST,pass,0,rule_expanded,2026-06-28,1,7,3,2,3,1,0,2,3,2,2,1,0,0,0
SYN-044,yes,rule_expanded,SEED-007,SF-ROBOT-POST-CAST,pass,0,rule_expanded,2026-06-28,1,7,3,2,3,2,0,1,3,2,2,1,0,0,0
SYN-045,yes,rule_expanded,SEED-007,SF-ROBOT-POST-CAST,pass,0,rule_expanded,2026-06-28,1,7,3,2,3,2,0,2,3,2,2,1,0,0,0
SYN-046,yes,rule_expanded,SEED-007,SF-ROBOT-POST-CAST,pass,0,rule_expanded,2026-06-28,1,7,3,2,3,2,0,3,3,2,2,1,0,0,0
SYN-047,yes,rule_expanded,SEED-007,SF-ROBOT-POST-CAST,pass,0,rule_expanded,2026-06-28,1,7,3,2,3,1,0,1,3,2,2,1,0,0,1
SYN-048,yes,rule_expanded,SEED-007,SF-ROBOT-POST-CAST,pass,0,rule_expanded,2026-06-28,1,7,3,2,3,1,0,1,3,2,2,1,0,0,2
SYN-049,yes,rule_expanded,SEED-008,SF-ROBOT-POST-CAST,pass,0,rule_expanded,2026-06-28,1,6,3,3,3,1,0,2,3,2,2,1,0,0,0
SYN-050,yes,rule_expanded,SEED-008,SF-ROBOT-POST-CAST,pass,0,rule_expanded,2026-06-28,1,6,3,3,3,2,0,1,3,2,2,1,0,0,0
