segment_id,video_id,start_time,end_time,segment_duration_sec,activity_type,segment_category,segment_quality,duration_validity,reason_for_rejection,visible_segment_duration_sec,duration_validity_reason,continuous_unedited_segment,time_lapse_or_jump_cut,usable_for_productivity,label_revision_note
M02-S10,M02,00:38:22,00:41:47,205,concrete_pour,mivan_workflow,high,invalid,chapter-based field documentary; timing for workflow reference only,205,chapter-based field documentary; timing for workflow reference only,no,yes,no,
M02-S11,M02,00:41:47,00:42:41,54,post_concrete_activity,mivan_workflow,medium,invalid,chapter-based field documentary; timing for workflow reference only,54,chapter-based field documentary; timing for workflow reference only,no,yes,no,
M02-S12,M02,00:42:41,00:45:33,172,post_concrete_survey,mivan_workflow,medium,invalid,chapter-based field documentary; timing for workflow reference only,172,chapter-based field documentary; timing for workflow reference only,no,yes,no,
M02-S13,M02,00:45:33,00:47:12,99,deshuttering,mivan_workflow,high,invalid,chapter-based field documentary; timing for workflow reference only,99,chapter-based field documentary; timing for workflow reference only,no,yes,no,
M02-S14,M02,00:47:12,00:47:45,33,bracket_installation,mivan_workflow,medium,invalid,chapter-based field documentary; timing for workflow reference only,33,chapter-based field documentary; timing for workflow reference only,no,yes,no,
M02-S15,M02,00:47:45,00:48:11,26,wall_tie_hole_filling,mivan_workflow,low,invalid,chapter-based field documentary; timing for workflow reference only,26,chapter-based field documentary; timing for workflow reference only,no,yes,no,
M02-S16,M02,00:48:11,00:51:41,210,building_level_check,mivan_workflow,medium,invalid,chapter-based field documentary; timing for workflow reference only,210,chapter-based field documentary; timing for workflow reference only,no,yes,no,
R05-S01,R05,00:00:00,00:01:00,60,post_cast_coating,robot_operation,high,invalid,chapter-based or promotional footage; timing for workflow reference only,60,chapter-based or promotional footage; timing for workflow reference only,no,yes,no,Indoor coating on hardened surface; not fresh concrete
R06-S01,R06,00:00:00,00:02:58,178,floor_grinding,robot_operation,high,invalid,chapter-based or promotional footage; timing for workflow reference only,178,chapter-based or promotional footage; timing for workflow reference only,no,yes,no,
R07-S01,R07,00:00:00,00:03:35,215,post_cast_coating,robot_operation,high,invalid,chapter-based or promotional footage; timing for workflow reference only,215,chapter-based or promotional footage; timing for workflow reference only,no,yes,no,Post-cast coating activity separated from fresh concrete finishing
M03-S01,M03,00:00:18,00:02:33,135,formwork_components,mivan_workflow,medium,invalid,chapter-based or promotional footage; timing for workflow reference only,135,chapter-based or promotional footage; timing for workflow reference only,no,yes,no,
M03-S02,M03,00:02:33,00:06:50,257,formwork_process,mivan_workflow,medium,invalid,chapter-based or promotional footage; timing for workflow reference only,257,chapter-based or promotional footage; timing for workflow reference only,no,yes,no,
M05-S01,M05,00:00:37,00:01:51,73,grid_line_and_thesi,mivan_workflow,medium,invalid,parallel M01 upload; bounds scaled from M01 transcript alignment,73,parallel M01 upload; bounds scaled from M01 transcript alignment,no,yes,no,
M05-S02,M05,00:01:51,00:04:00,129,vertical_rebar_and_wall_prep,mivan_workflow,medium,invalid,parallel M01 upload; bounds scaled from M01 transcript alignment,129,parallel M01 upload; bounds scaled from M01 transcript alignment,no,yes,no,
M05-S03,M05,00:04:01,00:06:58,176,wall_panel_erection,mivan_workflow,medium,invalid,parallel M01 upload; bounds scaled from M01 transcript alignment,176,parallel M01 upload; bounds scaled from M01 transcript alignment,no,yes,no,
M05-S04,M05,00:06:59,00:07:45,46,beam_reinforcement,mivan_workflow,medium,invalid,parallel M01 upload; bounds scaled from M01 transcript alignment,46,parallel M01 upload; bounds scaled from M01 transcript alignment,no,yes,no,
M05-S05,M05,00:07:46,00:09:33,106,slab_reinforcement,mivan_workflow,medium,invalid,parallel M01 upload; bounds scaled from M01 transcript alignment,106,parallel M01 upload; bounds scaled from M01 transcript alignment,no,yes,no,
M05-S06,M05,00:09:33,00:10:01,27,electrical_mep,mivan_workflow,medium,invalid,parallel M01 upload; bounds scaled from M01 transcript alignment,27,parallel M01 upload; bounds scaled from M01 transcript alignment,no,yes,no,
M05-S07,M05,00:10:32,00:11:20,48,slab_supporting_and_quality_check,mivan_workflow,medium,invalid,parallel M01 upload; bounds scaled from M01 transcript alignment,48,parallel M01 upload; bounds scaled from M01 transcript alignment,no,yes,no,
M05-S08,M05,00:11:24,00:11:49,24,concrete_pour_and_vibration,mivan_workflow,medium,invalid,parallel M01 upload; bounds scaled from M01 transcript alignment,24,parallel M01 upload; bounds scaled from M01 transcript alignment,no,yes,no,
R09-S01,R09,00:00:00,00:01:19,79,concrete_leveling,robot_operation,high,invalid,promotional or edited demo footage; timing for workflow reference only,79,promotional or edited demo footage; timing for workflow reference only,no,yes,no,
R10-S01,R10,00:00:00,00:01:19,79,floor_grinding,robot_operation,high,invalid,promotional or edited demo footage; timing for workflow reference only,79,promotional or edited demo footage; timing for workflow reference only,no,yes,no,
R11-S01,R11,00:00:00,00:01:30,90,floor_grinding,robot_operation,high,invalid,promotional or edited demo footage; timing for workflow reference only,90,promotional or edited demo footage; timing for workflow reference only,no,yes,no,
R12-S01,R12,00:00:00,00:01:04,64,floor_grinding,robot_operation,high,invalid,promotional or edited demo footage; timing for workflow reference only,64,promotional or edited demo footage; timing for workflow reference only,no,yes,no,
R13-S01,R13,00:00:00,00:02:38,158,post_cast_coating,robot_operation,high,invalid,promotional or edited demo footage; timing for workflow reference only,158,promotional or edited demo footage; timing for workflow reference only,no,yes,no,
R15-S01,R15,00:00:00,00:01:34,94,layout_marking,robot_operation,high,invalid,promotional or edited demo footage; timing for workflow reference only,94,promotional or edited demo footage; timing for workflow reference only,no,yes,no,
M06-S01,M06,00:00:30,00:04:30,240,post_cast_finishing,mivan_workflow,medium,invalid,promotional or edited demo footage; timing for workflow reference only,240,promotional or edited demo footage; timing for workflow reference only,no,yes,no,
R22-S01,R22,00:00:00,00:00:55,55,concrete_leveling,robot_operation,high,invalid,promotional distributor clip; timing for workflow reference only,55,promotional distributor clip; timing for workflow reference only,no,yes,no,
