video_id,video_url,video_category,platform,title,source_name,access_date,activity_focus,construction_context,total_video_duration,visibility_quality,coding_confidence,inclusion_status,score_relevance,score_visual_clarity,score_activity_continuity,score_activity_identifiability,score_interaction_visibility,score_editing_level,score_parameter_measurability,suitability_total_score,suitability_band,notes,manufacturer_name,robot_brand,robot_model,robot_category,robot_activity_group,manufacturer_verified,comparison_robot,suitability_score,data_use,manual_data_use_override,override_reason,is_duplicate_or_parallel,duplicate_group_id,independent_sample,parallel_source_note
R05,https://www.youtube.com/watch?v=js3ftGNLsPY,robot,YouTube,06-Floor Coating Robot,Brightmasterrobotics_BMR,2026-06-27,"concrete_finishing,coating",indoor_slab,60,high,medium,include,2,2,2,2,1,1,1,11,structured_extraction,Official BrightMaster floor coating demo,BrightMaster,BrightMaster,unknown,coating_robot,post_cast_coating,yes,no,11,structured_coding,,,no,,yes,
R06,https://www.youtube.com/watch?v=vP2Csqu_5yg,robot,YouTube,05-Putty Grinding Robot,Brightmasterrobotics_BMR,2026-06-27,"floor_grinding,surface_preparation",indoor_floor,178,high,medium,include,2,2,2,2,1,1,2,12,structured_extraction,Post-cast putty grinding robot demo,BrightMaster,BrightMaster,unknown,floor_grinding_robot,post_cast_floor_grinding,yes,no,12,structured_coding,,,no,,yes,
R07,https://www.youtube.com/watch?v=Z4v3zjiI2lg,robot,YouTube,03-Indoor coating robot NP320,Brightmasterrobotics_BMR,2026-06-27,"coating,finishing",indoor_floor,215,high,medium,include,2,2,2,2,1,1,2,12,structured_extraction,Indoor coating robot; supplementary to slab-cycle mapping,BrightMaster,BrightMaster,NP320,coating_robot,post_cast_coating,yes,no,12,structured_coding,,,yes,DUP-BMR-NP320-COATING,yes,Primary NP320 indoor coating demo
R08,https://www.youtube.com/watch?v=i8RiAKzosyg,robot,YouTube,About BrightMaster Robotics,Brightmasterrobotics_BMR,2026-06-27,"company_overview,robot_taxonomy",promotional,123,medium,low,qualitative_only,2,1,1,1,0,1,1,7,qualitative_only,Promotional overview only; no structured segment coding,BrightMaster,BrightMaster,unknown,other,other,yes,no,7,qualitative_only,,,no,,,
M05,https://www.youtube.com/watch?v=CDadY1AMC3U,mivan,YouTube,MIVAN Shuttering Procedure I 7 days Slab Cycle I aluminium formwork,Civil Construct,2026-06-27,"slab_cycle,formwork,pour,rebar",high-rise,723,medium,medium,include,2,2,1,2,1,1,2,11,structured_extraction,Parallel alternate upload to M01; segment bounds aligned via scaled M01 transcript,unknown,unknown,unknown,unknown,unknown,unknown,no,11,structured_coding,,,yes,DUP-MIVAN-SLAB-7DAY,no,Parallel Civil Construct upload of M01 workflow
T03,https://en.bm-robot.com/detail/177.html,technical_spec,manufacturer_website,BrightMaster Floor Grinding Robot,BrightMaster,2026-06-27,floor_grinding,spec_reference,n/a,n/a,high,include_specs_only,2,n/a,n/a,2,n/a,n/a,2,n/a,manufacturer_reported_E3,E3 specs only; not video observation,BrightMaster,BrightMaster,unknown,other,floor_grinding,yes,no,,structured_coding,,,no,,yes,
T04,https://en.bm-robot.com/detail/192.html,technical_spec,manufacturer_website,BrightMaster Middle East Deployment Case,BrightMaster,2026-06-27,"deployment_case,leveling",spec_reference,n/a,n/a,high,include_specs_only,2,n/a,n/a,2,n/a,n/a,2,n/a,manufacturer_reported_E3,E3 deployment claims only; not video observation,BrightMaster,BrightMaster,unknown,other,"deployment_case,leveling",yes,no,,structured_coding,,,no,,yes,
R09,https://www.youtube.com/watch?v=YXiwIc6AH4Y,robot,YouTube,03【BMR】Concrete Leveling Robot 地面整平机器人,Brightmasterrobotics_BMR,2026-06-28,concrete_leveling,open_slab,79,high,medium,include,2,2,2,2,1,1,2,12,structured_extraction,Official BrightMaster fresh-concrete leveling demo,BrightMaster,BrightMaster,unknown,concrete_leveling_robot,fresh_concrete_leveling,yes,no,12,structured_coding,,,no,,yes,
R10,https://www.youtube.com/watch?v=blDA7WRcL0I,robot,YouTube,01【BMR】Floor Grinding Robot 地坪研磨机器人,Brightmasterrobotics_BMR,2026-06-28,floor_grinding,indoor_floor,79,high,medium,include,2,2,2,2,1,1,2,12,structured_extraction,Official BrightMaster floor grinding demo; post-cast surface,BrightMaster,BrightMaster,unknown,floor_grinding_robot,post_cast_floor_grinding,yes,no,12,structured_coding,,,no,,yes,
R11,https://www.youtube.com/watch?v=eJ13b9CT8io,robot,YouTube,02-Interior Concrete Wall Grinding Robot,Brightmasterrobotics_BMR,2026-06-28,"floor_grinding,wall_surface",indoor_wall,90,high,medium,include,2,2,2,2,1,1,1,11,structured_extraction,Interior wall grinding robot; post-cast hardened surface,BrightMaster,BrightMaster,unknown,floor_grinding_robot,post_cast_floor_grinding,yes,no,11,structured_coding,,,no,,yes,
R12,https://www.youtube.com/watch?v=6y8Fz8oBIYE,robot,YouTube,01-Interior Concrete Ceiling Grinding Robot,Brightmasterrobotics_BMR,2026-06-28,"floor_grinding,ceiling_surface",indoor_ceiling,64,high,medium,include,2,2,2,2,1,1,1,11,structured_extraction,Ceiling grinding robot; overhead post-cast surface prep,BrightMaster,BrightMaster,unknown,floor_grinding_robot,post_cast_floor_grinding,yes,no,11,structured_coding,,,no,,yes,
R13,https://www.youtube.com/watch?v=hYF0dL1tfVQ,robot,YouTube,04-indoor coating robot NP320pro,Brightmasterrobotics_BMR,2026-06-28,"coating,finishing",indoor_floor,158,high,medium,include,2,2,2,2,1,1,1,11,structured_extraction,NP320pro indoor coating; parallel variant to R07,BrightMaster,BrightMaster,NP320pro,coating_robot,post_cast_coating,yes,no,11,structured_coding,,,yes,DUP-BMR-NP320-COATING,no,NP320pro variant; cross-check only
R14,https://www.youtube.com/watch?v=BDlcgA2LoN8,robot,YouTube,07-Exterior Wal Coating Robot,Brightmasterrobotics_BMR,2026-06-28,"coating,exterior_wall",exterior_facade,123,medium,low,qualitative_only,2,1,1,2,1,1,1,9,qualitative_only,Exterior wall coating promo; qualitative workflow mapping only,BrightMaster,BrightMaster,unknown,coating_robot,post_cast_coating,yes,no,9,qualitative_only,,,no,,,
R15,https://www.youtube.com/watch?v=xKegkxzEOr0,robot,YouTube,【BMR】Measuring Robot 测量机器人,Brightmasterrobotics_BMR,2026-06-28,"layout_marking,measurement",indoor_slab,94,high,medium,include,2,2,2,2,1,1,1,11,structured_extraction,Layout/measurement robot demo; supports pre-pour layout context,BrightMaster,BrightMaster,unknown,layout_robot,layout_marking,yes,no,11,structured_coding,,,no,,yes,
R16,https://www.youtube.com/watch?v=gLkFvaStjzA,robot,YouTube,Immersive experience: how robots work in construction site?,Brightmasterrobotics_BMR,2026-06-28,"multi_robot,montage",mixed_site,52,medium,low,qualitative_only,2,1,1,1,0,0,1,6,qualitative_only,Edited montage; workflow context only,BrightMaster,BrightMaster,unknown,other,other,yes,no,6,qualitative_only,,,no,,,
R17,https://www.youtube.com/watch?v=LrG7mUlH1y0,robot,YouTube,Witness future of construction in 90 Seconds I 2026 BrightMaster Innovation Launch,Brightmasterrobotics_BMR,2026-06-28,"promotional,product_launch",event,114,medium,low,qualitative_only,1,1,0,1,0,0,1,4,exclude,Launch promo montage; excluded from coding,BrightMaster,BrightMaster,unknown,other,other,yes,no,4,exclude,,,no,,,
R18,https://www.youtube.com/watch?v=DYN9N7-7ZGE,robot,YouTube,About BrightMaster Robotics products,Brightmasterrobotics_BMR,2026-06-28,product_overview,promotional,103,medium,low,qualitative_only,2,1,1,1,0,1,1,7,qualitative_only,Product taxonomy overview; no structured segment coding,BrightMaster,BrightMaster,unknown,other,other,yes,no,7,qualitative_only,,,no,,,
R19,https://www.youtube.com/watch?v=HDSjL2hw7dU,robot,YouTube,Who has the most complete product line of construction robots?,Brightmasterrobotics_BMR,2026-06-28,product_overview,promotional,103,medium,low,qualitative_only,1,1,1,1,0,1,1,6,qualitative_only,Marketing comparison reel; qualitative only,BrightMaster,BrightMaster,unknown,other,other,yes,no,6,qualitative_only,,,no,,,
R20,https://www.youtube.com/watch?v=RoIMb8TKrvg,robot,YouTube,"The Construction Crisis: low Profit, Aging Workers, Safety Risks",Brightmasterrobotics_BMR,2026-06-28,"industry_overview,promotional",presentation,1971,medium,low,qualitative_only,1,1,1,1,0,0,1,5,exclude,Long promotional presentation; excluded from structured coding,BrightMaster,BrightMaster,unknown,other,other,yes,no,5,exclude,,,no,,,
R21,https://www.youtube.com/watch?v=FcXXe9oKcts,robot,YouTube,Behind the Scenes: 2026 BrightMaster Embodied Construction Robot Innovation Launch,Brightmasterrobotics_BMR,2026-06-28,event_highlights,event,32,low,low,exclude,1,1,0,1,0,0,0,3,exclude,32s highlight reel; below usability threshold,BrightMaster,BrightMaster,unknown,other,other,yes,no,3,exclude,,,no,,,
M06,https://www.youtube.com/watch?v=CAI35CJ62kw,mivan,YouTube,MIVAN Formwork l Finishing work l High Rise Building,Civil Construct,2026-06-28,"finishing,post_cast,formwork_stripping",high-rise,415,medium,medium,include,2,2,1,2,1,1,1,10,structured_extraction,From M04 playlist pool; post-cast finishing context for Mivan workflow,unknown,unknown,unknown,unknown,unknown,unknown,no,10,structured_coding,,,no,,yes,
